Frame 41: X=278, Y=38, Radius=26
Frame 41: X=82, Y=37, Radius=34
Frame 42: X=306, Y=58, Radius=8
Frame 42: X=213, Y=58, Radius=8
Frame 42: X=213, Y=34, Radius=8
Frame 42: X=156, Y=46, Radius=48
Frame 42: X=373, Y=46, Radius=57
Frame 42: X=278, Y=38, Radius=26
Frame 42: X=82, Y=37, Radius=34
Frame 43: X=306, Y=58, Radius=8
Frame 43: X=213, Y=58, Radius=8
Frame 43: X=213, Y=34, Radius=8
Frame 43: X=413, Y=46, Radius=21
Frame 43: X=156, Y=46, Radius=48
Frame 43: X=376, Y=37, Radius=29
Frame 43: X=341, Y=38, Radius=26
Frame 43: X=278, Y=38, Radius=26
Frame 43: X=82, Y=37, Radius=34
Frame 44: X=306, Y=58, Radius=8
Frame 44: X=213, Y=58, Radius=8
Frame 44: X=213, Y=34, Radius=8
Frame 44: X=156, Y=46, Radius=48
Frame 44: X=373, Y=40, Radius=58
Frame 44: X=278, Y=38, Radius=26
Frame 44: X=82, Y=37, Radius=34
Frame 45: X=306, Y=58, Radius=8
Frame 45: X=213, Y=58, Radius=8
Frame 45: X=213, Y=34, Radius=8
Frame 45: X=156, Y=46, Radius=48
Frame 45: X=373, Y=40, Radius=58
Frame 45: X=278, Y=38, Radius=26
Frame 45: X=82, Y=37, Radius=34
Frame 46: X=306, Y=58, Radius=8
Frame 46: X=213, Y=58, Radius=8
Frame 46: X=213, Y=34, Radius=8
Frame 46: X=413, Y=46, Radius=21
Frame 46: X=156, Y=46, Radius=48
Frame 46: X=376, Y=37, Radius=29
Frame 46: X=335, Y=38, Radius=28
Frame 46: X=278, Y=38, Radius=26
Frame 46: X=82, Y=37, Radius=34
Frame 47: X=306, Y=58, Radius=8
Frame 47: X=213, Y=58, Radius=8
Frame 47: X=213, Y=34, Radius=8
Frame 47: X=156, Y=46, Radius=48
Frame 47: X=374, Y=41, Radius=57
Frame 47: X=278, Y=38, Radius=26
Frame 47: X=82, Y=37, Radius=34
Frame 48: X=306, Y=58, Radius=8
Frame 48: X=213, Y=58, Radius=8
Frame 48: X=213, Y=34, Radius=8
Frame 48: X=156, Y=46, Radius=48
Frame 48: X=374, Y=41, Radius=57
Frame 48: X=278, Y=38, Radius=26
Frame 48: X=82, Y=37, Radius=34
Frame 49: X=306, Y=58, Radius=8
Frame 49: X=213, Y=58, Radius=8
Frame 49: X=213, Y=34, Radius=8
Frame 49: X=413, Y=46, Radius=21
Frame 49: X=156, Y=46, Radius=48
Frame 49: X=376, Y=37, Radius=29
Frame 49: X=338, Y=39, Radius=27
Frame 49: X=278, Y=38, Radius=26
Frame 49: X=82, Y=37, Radius=34
Frame 50: X=306, Y=58, Radius=8
Frame 50: X=213, Y=58, Radius=8
Frame 50: X=213, Y=34, Radius=8
Frame 50: X=156, Y=46, Radius=48
Frame 50: X=394, Y=39, Radius=39
Frame 50: X=336, Y=37, Radius=29
Frame 50: X=278, Y=38, Radius=26
Frame 50: X=82, Y=37, Radius=34
Frame 51: X=306, Y=58, Radius=8
Frame 51: X=213, Y=58, Radius=8
Frame 51: X=213, Y=34, Radius=8
Frame 51: X=156, Y=46, Radius=48
Frame 51: X=393, Y=39, Radius=40
Frame 51: X=336, Y=37, Radius=29
Frame 51: X=278, Y=38, Radius=26
Frame 51: X=82, Y=37, Radius=34
Frame 52: X=306, Y=58, Radius=8
Frame 52: X=213, Y=58, Radius=8
Frame 52: X=213, Y=34, Radius=8
Frame 52: X=413, Y=46, Radius=21
Frame 52: X=156, Y=46, Radius=48
Frame 52: X=356, Y=33, Radius=43
Frame 52: X=278, Y=38, Radius=26
Frame 52: X=82, Y=37, Radius=34
Frame 53: X=306, Y=58, Radius=8
Frame 53: X=213, Y=58, Radius=8
Frame 53: X=213, Y=34, Radius=8
Frame 53: X=156, Y=46, Radius=48
Frame 53: X=373, Y=41, Radius=58
Frame 53: X=278, Y=38, Radius=26
Frame 53: X=82, Y=37, Radius=34
Frame 54: X=306, Y=58, Radius=8
Frame 54: X=213, Y=58, Radius=8
Frame 54: X=213, Y=34, Radius=8
Frame 54: X=156, Y=46, Radius=48
Frame 54: X=373, Y=41, Radius=58
Frame 54: X=278, Y=38, Radius=26
Frame 54: X=82, Y=37, Radius=34
Frame 55: X=306, Y=58, Radius=8
Frame 55: X=213, Y=58, Radius=8
Frame 55: X=213, Y=34, Radius=8
Frame 55: X=413, Y=46, Radius=21
Frame 55: X=156, Y=46, Radius=48
Frame 55: X=376, Y=37, Radius=29
Frame 55: X=336, Y=39, Radius=28
Frame 55: X=278, Y=38, Radius=26
Frame 55: X=82, Y=37, Radius=34
Frame 56: X=306, Y=58, Radius=8
Frame 56: X=213, Y=58, Radius=8
Frame 56: X=213, Y=34, Radius=8
Frame 56: X=156, Y=46, Radius=48
Frame 56: X=373, Y=41, Radius=58
Frame 56: X=278, Y=38, Radius=26
